t,service_id,service_name,arrival_rate,departure_rate,avg_latency_ms,queue_size,e2e_latency_ms
20.8,0,Service 0,465.0,460.0,4.409326768139389,2,4.409326768139389
21.0,0,Service 0,445.0,450.0,4.6329645297935445,1,4.6329645297935445
21.200000000000003,0,Service 0,445.0,430.0,3.7630874241731997,4,3.7630874241731997
21.400000000000002,0,Service 0,435.0,430.0,4.674943367445303,5,4.674943367445303
21.6,0,Service 0,450.0,455.0,6.508706041401096,4,6.508706041401096
21.8,0,Service 0,400.0,405.0,5.29331438757017,3,5.29331438757017
22.0,0,Service 0,465.0,480.0,3.27559303497893,0,3.27559303497893
22.200000000000003,0,Service 0,465.0,445.0,6.385005976053532,4,6.385005976053532
22.400000000000002,0,Service 0,360.0,375.0,4.248644949708525,1,4.248644949708525
22.6,0,Service 0,465.0,460.0,4.787269915814616,2,4.787269915814616
22.8,0,Service 0,405.0,385.0,3.7722955543191294,6,3.7722955543191294
23.0,0,Service 0,525.0,540.0,8.238197055265685,3,8.238197055265685
23.200000000000003,0,Service 0,405.0,410.0,6.020613461287179,2,6.020613461287179
23.400000000000002,0,Service 0,485.0,475.0,6.874283972049891,4,6.874283972049891
23.6,0,Service 0,415.0,430.0,11.913123963053494,1,11.913123963053494
23.8,0,Service 0,415.0,420.0,6.971601801218189,0,6.971601801218189
24.0,0,Service 0,390.0,390.0,3.763031075856987,0,3.763031075856987
24.200000000000003,0,Service 0,430.0,395.0,4.836167191433767,7,4.836167191433767
24.400000000000002,0,Service 0,425.0,445.0,5.88476237621142,3,5.88476237621142
24.6,0,Service 0,500.0,500.0,5.819729472996792,3,5.819729472996792
24.8,0,Service 0,350.0,365.0,3.0407422396034645,0,3.0407422396034645
25.0,0,Service 0,425.0,420.0,2.7431509647269556,1,2.7431509647269556
25.200000000000003,0,Service 0,395.0,390.0,5.181094333707165,2,5.181094333707165
25.400000000000002,0,Service 0,475.0,480.0,11.54299366597052,1,11.54299366597052
25.6,0,Service 0,460.0,450.0,7.283671777045263,3,7.283671777045263
25.8,0,Service 0,350.0,365.0,4.026321986891511,0,4.026321986891511
26.0,0,Service 0,560.0,555.0,10.445541205085537,1,10.445541205085537
26.200000000000003,0,Service 0,500.0,485.0,5.561088932924404,4,5.561088932924404
26.400000000000002,0,Service 0,435.0,445.0,15.390249084482873,2,15.390249084482873
26.6,0,Service 0,420.0,425.0,4.478215421840052,1,4.478215421840052
26.8,0,Service 0,450.0,445.0,5.18510569153994,2,5.18510569153994
27.0,0,Service 0,450.0,455.0,4.647834278287476,1,4.647834278287476
27.200000000000003,0,Service 0,415.0,420.0,3.5202596394052224,0,3.5202596394052224
27.400000000000002,0,Service 0,485.0,480.0,17.980330729110573,1,17.980330729110573
27.6,0,Service 0,425.0,410.0,4.521714174666774,4,4.521714174666774
27.8,0,Service 0,525.0,480.0,6.905740855378688,13,6.905740855378688
28.0,0,Service 0,475.0,515.0,21.053716676497665,5,21.053716676497665
28.200000000000003,0,Service 0,470.0,480.0,13.532287613630826,3,13.532287613630826
28.400000000000002,0,Service 0,425.0,435.0,3.4812132761271783,1,3.4812132761271783
28.6,0,Service 0,445.0,410.0,3.929743680117998,8,3.929743680117998
