source,target
s1_departure_rate,s8_arrival_rate
s1_departure_rate,s8_avg_latency
s1_departure_rate,s8_avg_queue_size
s1_departure_rate,s8_departure_rate
s1_departure_rate,wf0_avg_e2e_latency
s1_departure_rate,wf2_avg_e2e_latency
s2_arrival_rate,s2_avg_latency
s2_arrival_rate,s2_avg_queue_size
s2_arrival_rate,s2_departure_rate
s2_arrival_rate,s3_arrival_rate
s2_arrival_rate,s3_avg_throughput
s2_arrival_rate,s3_departure_rate
s2_arrival_rate,s4_arrival_rate
s2_arrival_rate,s4_avg_latency
s2_arrival_rate,s4_avg_queue_size
s2_arrival_rate,s4_avg_throughput
s2_arrival_rate,s4_departure_rate
s2_arrival_rate,s5_arrival_rate
s2_arrival_rate,s5_avg_latency
s2_arrival_rate,s5_avg_queue_size
s2_arrival_rate,s5_avg_throughput
s2_arrival_rate,s5_departure_rate
s2_arrival_rate,s6_avg_latency
s2_arrival_rate,s6_avg_queue_size
s2_arrival_rate,s6_avg_throughput
s2_arrival_rate,s6_departure_rate
s2_arrival_rate,s7_arrival_rate
s2_arrival_rate,s7_avg_queue_size
s2_arrival_rate,s7_departure_rate
s2_arrival_rate,s8_arrival_rate
s2_arrival_rate,s8_avg_latency
s2_arrival_rate,s8_avg_queue_size
s2_arrival_rate,s8_departure_rate
s2_arrival_rate,wf0_avg_e2e_latency
s2_arrival_rate,wf2_avg_e2e_latency
s2_avg_latency,s2_avg_throughput
s2_avg_latency,s2_departure_rate
s2_avg_latency,s3_arrival_rate
s2_avg_latency,s3_avg_latency
s2_avg_latency,s3_avg_queue_size
s2_avg_latency,s4_avg_throughput
s2_avg_latency,s5_avg_queue_size
s2_avg_latency,s6_departure_rate
s2_avg_latency,s7_avg_latency
s2_avg_latency,s7_departure_rate
s2_avg_latency,s8_arrival_rate
s2_avg_latency,s8_departure_rate
s2_avg_latency,wf0_violation_rate
s2_avg_latency,wf1_violation_rate
s2_avg_queue_size,s2_avg_throughput
s2_avg_queue_size,s2_departure_rate
s2_avg_queue_size,s3_avg_latency
s2_avg_queue_size,s3_avg_throughput
s2_avg_queue_size,s3_departure_rate
s2_avg_queue_size,s4_arrival_rate
s2_avg_queue_size,s4_avg_latency
s2_avg_queue_size,s4_avg_queue_size
s2_avg_queue_size,s4_departure_rate
s2_avg_queue_size,s5_arrival_rate
s2_avg_queue_size,s5_avg_queue_size
s2_avg_queue_size,s5_departure_rate
s2_avg_queue_size,s6_avg_throughput
s2_avg_queue_size,s6_departure_rate
s2_avg_queue_size,s7_arrival_rate
s2_avg_queue_size,s7_avg_queue_size
s2_avg_queue_size,s7_departure_rate
s2_avg_queue_size,s8_arrival_rate
s2_avg_queue_size,s8_avg_queue_size
s2_avg_queue_size,s8_avg_throughput
s2_avg_queue_size,s8_departure_rate
s2_avg_queue_size,wf0_avg_e2e_latency
s2_avg_queue_size,wf0_violation_rate
s2_avg_queue_size,wf1_avg_e2e_latency
s2_avg_queue_size,wf1_violation_rate
s2_avg_threads,s0_arrival_rate
s2_avg_threads,s0_avg_queue_size
s2_avg_threads,s0_departure_rate
s2_avg_threads,s1_arrival_rate
s2_avg_threads,s1_avg_queue_size
s2_avg_threads,s1_departure_rate
s2_avg_threads,s2_arrival_rate
s2_avg_threads,s2_avg_latency
s2_avg_threads,s2_departure_rate
s2_avg_threads,s3_departure_rate
s2_avg_threads,s4_arrival_rate
s2_avg_threads,s4_avg_latency
s2_avg_threads,s4_avg_queue_size
s2_avg_threads,s4_avg_throughput
s2_avg_threads,s4_departure_rate
s2_avg_threads,s5_arrival_rate
s2_avg_threads,s5_avg_threads
s2_avg_threads,s5_departure_rate
s2_avg_threads,s6_avg_latency
s2_avg_threads,s6_avg_queue_size
s2_avg_threads,s6_avg_threads
s2_avg_threads,s6_avg_throughput
s2_avg_threads,s6_departure_rate
s2_avg_threads,s7_arrival_rate
s2_avg_threads,s7_avg_queue_size
s2_avg_threads,s7_avg_threads
s2_avg_threads,s7_departure_rate
s2_avg_threads,s8_arrival_rate
s2_avg_threads,s8_departure_rate
s2_avg_threads,wf2_avg_e2e_latency
s2_avg_threads,wf2_violation_rate
s2_avg_throughput,node2_cpu_usage_pct
s2_avg_throughput,s3_avg_latency
s2_avg_throughput,s3_avg_throughput
s2_avg_throughput,s4_avg_latency
s2_avg_throughput,s4_avg_throughput
s2_avg_throughput,s7_avg_latency
